amount_of_polygons;execution_time_in_seconds
1;0.111181
2;0.10926167000000002
3;0.11412853
4;0.12081377
5;0.12781656999999996
6;0.13411024500000002
7;0.1467754
8;0.14426960500000002
9;0.15325854
10;0.16764962
11;0.178170145
12;0.22072842500000003
13;0.24163494000000002
14;0.2485668
15;0.29721139
16;0.27554618999999997
17;0.41331544
18;0.368468125
19;0.33523852000000004
20;0.42575401500000004
21;0.38488642500000003
22;0.5621586749999998
23;0.491436195
24;0.45234622500000005
25;0.3924149699999999
26;0.67502322
27;0.872291135
28;1.0351189650000001
29;1.17972864
